Train dataset size: 134096
Validation dataset size: 33525
Test dataset size: 41906
['U.S. NEWS', 'COMEDY', 'PARENTING', 'WORLD NEWS', 'CULTURE & ARTS', 'TECH', 'SPORTS', 'ENTERTAINMENT', 'POLITICS', 'WEIRD NEWS', 'ENVIRONMENT', 'EDUCATION', 'CRIME', 'SCIENCE', 'WELLNESS', 'BUSINESS', 'STYLE & BEAUTY', 'FOOD & DRINK', 'MEDIA', 'QUEER VOICES', 'HOME & LIVING', 'WOMEN', 'BLACK VOICES', 'TRAVEL', 'MONEY', 'RELIGION', 'LATINO VOICES', 'IMPACT', 'WEDDINGS', 'COLLEGE', 'PARENTS', 'ARTS & CULTURE', 'STYLE', 'GREEN', 'TASTE', 'HEALTHY LIVING', 'THE WORLDPOST', 'GOOD NEWS', 'WORLDPOST', 'FIFTY', 'ARTS', 'DIVORCE']
{'loss': 2.538, 'grad_norm': 5.648463249206543, 'learning_rate': 4.9522900763358784e-05, 'epoch': 0.1}
{'loss': 1.6729, 'grad_norm': 3.8880655765533447, 'learning_rate': 4.904580152671756e-05, 'epoch': 0.19}
{'loss': 1.461, 'grad_norm': 5.740947723388672, 'learning_rate': 4.856870229007634e-05, 'epoch': 0.29}
{'loss': 1.3513, 'grad_norm': 3.8042280673980713, 'learning_rate': 4.809160305343512e-05, 'epoch': 0.38}
{'loss': 1.291, 'grad_norm': 3.8541226387023926, 'learning_rate': 4.7614503816793896e-05, 'epoch': 0.48}
{'loss': 1.2381, 'grad_norm': 12.443678855895996, 'learning_rate': 4.713740458015267e-05, 'epoch': 0.57}
{'loss': 1.1978, 'grad_norm': 4.856504917144775, 'learning_rate': 4.666030534351145e-05, 'epoch': 0.67}
{'loss': 1.1588, 'grad_norm': 4.257474422454834, 'learning_rate': 4.618320610687023e-05, 'epoch': 0.76}
{'loss': 1.1497, 'grad_norm': 4.104170322418213, 'learning_rate': 4.570610687022901e-05, 'epoch': 0.86}
{'loss': 1.1079, 'grad_norm': 5.3210039138793945, 'learning_rate': 4.522900763358779e-05, 'epoch': 0.95}
{'eval_loss': 1.070055365562439, 'eval_f1': 0.7669080563260455, 'eval_runtime': 85.1145, 'eval_samples_per_second': 393.881, 'eval_steps_per_second': 6.156, 'epoch': 1.0}
{'loss': 0.9816, 'grad_norm': 4.200919151306152, 'learning_rate': 4.475190839694657e-05, 'epoch': 1.05}
{'loss': 0.8863, 'grad_norm': 5.287803649902344, 'learning_rate': 4.4274809160305345e-05, 'epoch': 1.15}
{'loss': 0.8701, 'grad_norm': 4.714105606079102, 'learning_rate': 4.379770992366413e-05, 'epoch': 1.24}
{'loss': 0.8825, 'grad_norm': 4.039190292358398, 'learning_rate': 4.332061068702291e-05, 'epoch': 1.34}
{'loss': 0.8781, 'grad_norm': 4.385517120361328, 'learning_rate': 4.2843511450381676e-05, 'epoch': 1.43}
{'loss': 0.8599, 'grad_norm': 5.384212493896484, 'learning_rate': 4.236641221374046e-05, 'epoch': 1.53}
{'loss': 0.8789, 'grad_norm': 4.302755832672119, 'learning_rate': 4.188931297709924e-05, 'epoch': 1.62}
{'loss': 0.8725, 'grad_norm': 3.6755897998809814, 'learning_rate': 4.1412213740458014e-05, 'epoch': 1.72}
{'loss': 0.8711, 'grad_norm': 5.063183784484863, 'learning_rate': 4.0935114503816795e-05, 'epoch': 1.81}
